SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
228,JK,Jammu and Kashmir,JK_Doda,Doda,5784,1112,4582,90,0,0,0,0,0,,
229,JK,Jammu and Kashmir,JK_Ganderbal,Ganderbal,8805,1217,7519,69,0,0,0,0,0,,
230,JK,Jammu and Kashmir,JK_Jammu,Jammu,50893,5329,44488,1076,0,0,0,0,0,,
231,JK,Jammu and Kashmir,JK_Kathua,Kathua,8805,480,8193,132,0,0,0,0,0,,
232,JK,Jammu and Kashmir,JK_Kishtwar,Kishtwar,4013,270,3709,34,0,0,0,0,0,,
233,JK,Jammu and Kashmir,JK_Kulgam,Kulgam,9943,1514,8325,104,0,0,0,0,0,,
234,JK,Jammu and Kashmir,JK_Kupwara,Kupwara,12178,1813,10220,145,0,0,0,0,0,,
235,JK,Jammu and Kashmir,JK_Mirpur,Mirpur,0,0,0,0,0,0,0,0,0,,
236,JK,Jammu and Kashmir,JK_Muzaffarabad,Muzaffarabad,0,0,0,0,0,0,0,0,0,,
237,JK,Jammu and Kashmir,JK_Pulwama,Pulwama,13241,2226,10844,171,0,0,0,0,0,,
238,JK,Jammu and Kashmir,JK_Punch,Punch,5267,925,4263,79,0,0,0,0,0,,
239,JK,Jammu and Kashmir,JK_Rajouri,Rajouri,9742,1167,8389,186,0,0,0,0,0,,
240,JK,Jammu and Kashmir,JK_Ramban,Ramban,5127,758,4316,53,0,0,0,0,0,,
241,JK,Jammu and Kashmir,JK_Reasi,Reasi,5314,465,4812,37,0,0,0,0,0,,
242,JK,Jammu and Kashmir,JK_Samba,Samba,6776,1120,5544,112,0,0,0,0,0,,
243,JK,Jammu and Kashmir,JK_Shopiyan,Shopiyan,5334,1129,4150,55,0,0,0,0,0,,
244,JK,Jammu and Kashmir,JK_Srinagar,Srinagar,65467,4057,60633,777,0,0,0,0,0,,
245,JK,Jammu and Kashmir,JK_Udhampur,Udhampur,10639,603,9910,126,0,0,0,0,0,,
270,KA,Karnataka,KA_Bagalkote,Bagalkote,33181,1841,31059,281,0,0,0,0,0,,
271,KA,Karnataka,KA_Ballari,Ballari,91863,8238,82253,1372,0,0,0,0,0,,
272,KA,Karnataka,KA_Belagavi,Belagavi,66776,11852,54354,570,0,0,0,0,0,,
274,KA,Karnataka,KA_Bengaluru Rural,Bengaluru Rural,53827,7641,45512,674,0,0,0,0,0,,
273,KA,Karnataka,KA_Bengaluru Urban,Bengaluru Urban,1166647,143702,1009322,13622,1,0,0,0,0,,
275,KA,Karnataka,KA_Bidar,Bidar,23860,319,23158,379,4,0,0,0,0,,
276,KA,Karnataka,KA_Chamarajanagara,Chamarajanagara,27131,2702,24026,392,11,0,0,0,0,,
277,KA,Karnataka,KA_Chikkaballapura,Chikkaballapura,38191,3665,34216,309,1,0,0,0,0,,
278,KA,Karnataka,KA_Chikkamagaluru,Chikkamagaluru,38262,5631,32372,259,0,0,0,0,0,,
279,KA,Karnataka,KA_Chitradurga,Chitradurga,30076,6791,23136,149,0,0,0,0,0,,
280,KA,Karnataka,KA_Dakshina Kannada,Dakshina Kannada,76735,8492,67325,916,2,0,0,0,0,,
281,KA,Karnataka,KA_Davanagere,Davanagere,42572,4051,38160,361,0,0,0,0,0,,
282,KA,Karnataka,KA_Dharwad,Dharwad,55987,5361,49647,978,1,0,0,0,0,,
283,KA,Karnataka,KA_Gadag,Gadag,23780,2389,21137,254,0,0,0,0,0,,
284,KA,Karnataka,KA_Hassan,Hassan,85697,13652,71126,918,1,0,0,0,0,,
285,KA,Karnataka,KA_Haveri,Haveri,19935,1515,17974,446,0,0,0,0,0,,
286,KA,Karnataka,KA_Kalaburagi,Kalaburagi,60156,1520,57861,775,0,0,0,0,0,,
287,KA,Karnataka,KA_Kodagu,Kodagu,25162,2103,22832,227,0,0,0,0,0,,
288,KA,Karnataka,KA_Kolar,Kolar,38938,6515,32073,350,0,0,0,0,0,,
289,KA,Karnataka,KA_Koppal,Koppal,31936,2988,28519,429,0,0,0,0,0,,
290,KA,Karnataka,KA_Mandya,Mandya,61379,5453,55475,451,0,0,0,0,0,,
291,KA,Karnataka,KA_Mysuru,Mysuru,143968,14606,127723,1639,0,0,0,0,0,,
0,KA,Karnataka,KA_Other State,Other State,36,0,33,3,0,0,0,0,0,,
292,KA,Karnataka,KA_Raichur,Raichur,38184,4168,33742,274,0,0,0,0,0,,
293,KA,Karnataka,KA_Ramanagara,Ramanagara,22424,1841,20319,264,0,0,0,0,0,,
294,KA,Karnataka,KA_Shivamogga,Shivamogga,52736,6139,45777,820,0,0,0,0,0,,
295,KA,Karnataka,KA_Tumakuru,Tumakuru,104134,11831,91392,911,0,0,0,0,0,,
296,KA,Karnataka,KA_Udupi,Udupi,59441,5212,53898,331,0,0,0,0,0,,
297,KA,Karnataka,KA_Uttara Kannada,Uttara Kannada,45592,4589,40420,583,0,0,0,0,0,,
298,KA,Karnataka,KA_Vijayapura,Vijayapura,33405,1874,31115,416,0,0,0,0,0,,
299,KA,Karnataka,KA_Yadgir,Yadgir,26724,1618,24905,201,0,0,0,0,0,,
0,KL,Kerala,KL_Other State,Other State,0,0,0,0,0,0,0,0,0,,
300,KL,Kerala,KL_Alappuzha,Alappuzha,173884,16587,156550,709,38,0,0,0,0,,
301,KL,Kerala,KL_Ernakulam,Ernakulam,313654,31881,280815,909,49,0,0,0,0,,
302,KL,Kerala,KL_Idukki,Idukki,72038,9715,62254,63,6,0,0,0,0,,
303,KL,Kerala,KL_Kannur,Kannur,143120,7464,134992,623,41,0,0,0,0,,
304,KL,Kerala,KL_Kasaragod,Kasaragod,72132,7443,64525,154,10,0,0,0,0,,
305,KL,Kerala,KL_Kollam,Kollam,189880,7570,181762,523,25,0,0,0,0,,
306,KL,Kerala,KL_Kottayam,Kottayam,181086,7771,172855,448,12,0,0,0,0,,
307,KL,Kerala,KL_Kozhikode,Kozhikode,280954,15730,264209,976,39,0,0,0,0,,
308,KL,Kerala,KL_Malappuram,Malappuram,294462,39642,254126,670,24,0,0,0,0,,
309,KL,Kerala,KL_Palakkad,Palakkad,172251,18690,152905,644,12,0,0,0,0,,
310,KL,Kerala,KL_Pathanamthitta,Pathanamthitta,105292,10543,94444,295,10,0,0,0,0,,
311,KL,Kerala,KL_Thiruvananthapuram,Thiruvananthapuram,251684,14292,235504,1789,99,0,0,0,0,,
312,KL,Kerala,KL_Thrissur,Thrissur,237627,10788,225773,1043,23,0,0,0,0,,
313,KL,Kerala,KL_Wayanad,Wayanad,58276,4657,53446,164,9,0,0,0,0,,
314,LA,Ladakh,LA_Kargil,Kargil,3271,213,3004,54,0,0,0,0,0,,
315,LA,Ladakh,LA_Leh,Leh,15479,1368,13975,136,0,0,0,0,0,,
316,LD,Lakshadweep,LD_Lakshadweep,Lakshadweep,8166,1567,6538,33,28,0,0,0,0,,
369,MH,Maharashtra,MH_Ahmednagar,Ahmednagar,252275,10905,238182,3187,1,0,0,0,0,,
370,MH,Maharashtra,MH_Akola,Akola,56633,3338,52363,928,4,0,0,0,0,,
371,MH,Maharashtra,MH_Amravati,Amravati,90416,4489,84515,1410,2,0,0,0,0,,
372,MH,Maharashtra,MH_Aurangabad,Aurangabad,147391,3953,140537,2887,14,0,0,0,0,,
374,MH,Maharashtra,MH_Beed,Beed,87834,6834,79059,1933,8,0,0,0,0,,
373,MH,Maharashtra,MH_Bhandara,Bhandara,59401,1463,56966,963,9,0,0,0,0,,
375,MH,Maharashtra,MH_Buldhana,Buldhana,81188,1471,79214,498,5,0,0,0,0,,
376,MH,Maharashtra,MH_Chandrapur,Chandrapur,86191,2469,82321,1399,2,0,0,0,0,,
377,MH,Maharashtra,MH_Dhule,Dhule,44837,1209,43103,513,12,0,0,0,0,,
378,MH,Maharashtra,MH_Gadchiroli,Gadchiroli,28509,815,27173,494,27,0,0,0,0,,
379,MH,Maharashtra,MH_Gondia,Gondia,40047,687,38869,484,7,0,0,0,0,,
380,MH,Maharashtra,MH_Hingoli,Hingoli,17837,1824,15667,345,1,0,0,0,0,,
381,MH,Maharashtra,MH_Jalgaon,Jalgaon,137102,4115,130580,2374,33,0,0,0,0,,
382,MH,Maharashtra,MH_Jalna,Jalna,58292,2290,55068,933,1,0,0,0,0,,
383,MH,Maharashtra,MH_Kolhapur,Kolhapur,115500,18590,93382,3525,3,0,0,0,0,,
384,MH,Maharashtra,MH_Latur,Latur,89389,3133,84412,1839,5,0,0,0,0,,
385,MH,Maharashtra,MH_Mumbai,Mumbai,706118,20147,668976,14849,2146,0,0,0,0,"[Sep 9]After reconciling COVID-19 cases in Mumbai, owing to the removal of duplicates and change of addresses as per the original residence, 239 cases have been removed from the progressive figures.",
386,MH,Maharashtra,MH_Mumbai Suburban,Mumbai Suburban,0,0,0,0,0,0,0,0,0,,
387,MH,Maharashtra,MH_Nagpur,Nagpur,490033,10869,472452,6653,59,0,0,0,0,District administration provides number of persons tested instead of the number of samples tested.,
388,MH,Maharashtra,MH_Nanded,Nanded,89627,2084,85291,2245,7,0,0,0,0,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
389,MH,Maharashtra,MH_Nandurbar,Nandurbar,38786,669,37278,836,3,0,0,0,0,,
390,MH,Maharashtra,MH_Nashik,Nashik,387864,8059,375056,4748,1,0,0,0,0,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
391,MH,Maharashtra,MH_Osmanabad,Osmanabad,57932,3834,52683,1343,72,0,0,0,0,,
0,MH,Maharashtra,MH_Other State,Other State,146,26,0,118,2,0,0,0,0,,
392,MH,Maharashtra,MH_Palghar,Palghar,115661,3645,110095,1909,12,0,0,0,0,,
393,MH,Maharashtra,MH_Parbhani,Parbhani,50743,3602,46182,947,12,0,0,0,0,,
394,MH,Maharashtra,MH_Pune,Pune,1018658,30092,975936,12569,61,0,0,0,0,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
395,MH,Maharashtra,MH_Raigad,Raigad,149339,4434,141995,2908,2,0,0,0,0,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
396,MH,Maharashtra,MH_Ratnagiri,Ratnagiri,44910,5480,38316,1112,2,0,0,0,0,,
397,MH,Maharashtra,MH_Sangli,Sangli,126956,11926,112044,2981,5,0,0,0,0,,
398,MH,Maharashtra,MH_Satara,Satara,166938,20777,142975,3165,21,0,0,0,0,,
399,MH,Maharashtra,MH_Sindhudurg,Sindhudurg,27042,5054,21304,670,14,0,0,0,0,,
400,MH,Maharashtra,MH_Solapur,Solapur,161930,8022,149628,4205,75,0,0,0,0,,
401,MH,Maharashtra,MH_Thane,Thane,563663,18339,537053,8240,31,0,0,0,0,,
402,MH,Maharashtra,MH_Wardha,Wardha,57988,2564,54259,1014,151,0,0,0,0,,
403,MH,Maharashtra,MH_Washim,Washim,40092,2039,37462,588,3,0,0,0,0,,
404,MH,Maharashtra,MH_Yavatmal,Yavatmal,73747,1434,70923,1386,4,0,0,0,0,,
421,ML,Meghalaya,ML_East Garo Hills,East Garo Hills,643,135,506,2,0,0,0,0,0,,
422,ML,Meghalaya,ML_East Jaintia Hills,East Jaintia Hills,1344,230,1105,9,0,0,0,0,0,,
423,ML,Meghalaya,ML_East Khasi Hills,East Khasi Hills,21672,2998,18193,481,0,0,0,0,0,,
424,ML,Meghalaya,ML_North Garo Hills,North Garo Hills,453,157,291,5,0,0,0,0,0,,
425,ML,Meghalaya,ML_Ribhoi,Ribhoi,4137,915,3208,14,0,0,0,0,0,,
426,ML,Meghalaya,ML_South Garo Hills,South Garo Hills,461,127,330,4,0,0,0,0,0,,
427,ML,Meghalaya,ML_South West Garo Hills,South West Garo Hills,923,393,525,5,0,0,0,0,0,,
428,ML,Meghalaya,ML_South West Khasi Hills,South West Khasi Hills,468,315,150,3,0,0,0,0,0,,
429,ML,Meghalaya,ML_West Garo Hills,West Garo Hills,3298,614,2658,26,0,0,0,0,0,,
430,ML,Meghalaya,ML_West Jaintia Hills,West Jaintia Hills,1930,551,1341,38,0,0,0,0,0,,
431,ML,Meghalaya,ML_West Khasi Hills,West Khasi Hills,736,171,560,5,0,0,0,0,0,,
0,MN,Manipur,MN_CAPF Personnel,CAPF Personnel,2953,1270,1681,2,0,0,0,0,0,,
405,MN,Manipur,MN_Bishnupur,Bishnupur,2735,2631,58,46,0,0,0,0,0,,
406,MN,Manipur,MN_Chandel,Chandel,564,549,4,11,0,0,0,0,0,,
407,MN,Manipur,MN_Churachandpur,Churachandpur,3098,2983,58,57,0,0,0,0,0,,
408,MN,Manipur,MN_Imphal East,Imphal East,11277,10924,150,203,0,0,0,0,0,,
409,MN,Manipur,MN_Imphal West,Imphal West,17386,17058,52,276,0,0,0,0,0,,
410,MN,Manipur,MN_Jiribam,Jiribam,413,410,2,1,0,0,0,0,0,,
411,MN,Manipur,MN_Kakching,Kakching,2064,2001,27,36,0,0,0,0,0,,
412,MN,Manipur,MN_Kamjong,Kamjong,341,322,17,2,0,0,0,0,0,,
413,MN,Manipur,MN_Kangpokpi,Kangpokpi,895,858,19,18,0,0,0,0,0,,
414,MN,Manipur,MN_Noney,Noney,416,396,18,2,0,0,0,0,0,,
415,MN,Manipur,MN_Pherzawl,Pherzawl,75,60,15,0,0,0,0,0,0,,
416,MN,Manipur,MN_Senapati,Senapati,966,941,21,4,0,0,0,0,0,,
417,MN,Manipur,MN_Tamenglong,Tamenglong,1695,1656,32,7,0,0,0,0,0,,
418,MN,Manipur,MN_Tengnoupal,Tengnoupal,378,364,13,1,0,0,0,0,0,,
419,MN,Manipur,MN_Thoubal,Thoubal,3573,3484,23,66,0,0,0,0,0,,
420,MN,Manipur,MN_Ukhrul,Ukhrul,924,895,18,11,0,0,0,0,0,,
317,MP,Madhya Pradesh,MP_Agar Malwa,Agar Malwa,3263,139,3089,35,0,0,0,0,0,,
318,MP,Madhya Pradesh,MP_Alirajpur,Alirajpur,3495,15,3434,46,0,0,0,0,0,,
319,MP,Madhya Pradesh,MP_Anuppur,Anuppur,9150,352,8719,79,0,0,0,0,0,,
320,MP,Madhya Pradesh,MP_Ashoknagar,Ashoknagar,3618,151,3440,27,0,0,0,0,0,,
321,MP,Madhya Pradesh,MP_Balaghat,Balaghat,9012,222,8727,63,0,0,0,0,0,,
322,MP,Madhya Pradesh,MP_Barwani,Barwani,8303,149,8071,83,0,0,0,0,0,,
323,MP,Madhya Pradesh,MP_Betul,Betul,12685,402,12082,201,0,0,0,0,0,,
324,MP,Madhya Pradesh,MP_Bhind,Bhind,2982,49,2904,29,0,0,0,0,0,,
325,MP,Madhya Pradesh,MP_Bhopal,Bhopal,121093,5328,114831,934,0,0,0,0,0,,
326,MP,Madhya Pradesh,MP_Burhanpur,Burhanpur,2552,15,2500,37,0,0,0,0,0,,
327,MP,Madhya Pradesh,MP_Chhatarpur,Chhatarpur,7569,78,7400,91,0,0,0,0,0,,
328,MP,Madhya Pradesh,MP_Chhindwara,Chhindwara,6653,79,6454,120,0,0,0,0,0,,
329,MP,Madhya Pradesh,MP_Damoh,Damoh,8021,739,7120,162,0,0,0,0,0,,
330,MP,Madhya Pradesh,MP_Datia,Datia,6901,115,6709,77,0,0,0,0,0,,
331,MP,Madhya Pradesh,MP_Dewas,Dewas,7688,133,7507,48,0,0,0,0,0,,
332,MP,Madhya Pradesh,MP_Dhar,Dhar,12426,299,12002,125,0,0,0,0,0,,
333,MP,Madhya Pradesh,MP_Dindori,Dindori,4588,39,4521,28,0,0,0,0,0,,
335,MP,Madhya Pradesh,MP_Guna,Guna,5098,173,4881,44,0,0,0,0,0,,
336,MP,Madhya Pradesh,MP_Gwalior,Gwalior,52894,815,51492,587,0,0,0,0,0,,
337,MP,Madhya Pradesh,MP_Harda,Harda,4984,96,4798,90,0,0,0,0,0,,
338,MP,Madhya Pradesh,MP_Hoshangabad,Hoshangabad,10566,108,10361,97,0,0,0,0,0,,
339,MP,Madhya Pradesh,MP_Indore,Indore,150178,3406,145429,1343,0,0,0,0,0,,
340,MP,Madhya Pradesh,MP_Jabalpur,Jabalpur,49871,1128,48133,610,0,0,0,0,0,,
341,MP,Madhya Pradesh,MP_Jhabua,Jhabua,7662,67,7542,53,0,0,0,0,0,,
342,MP,Madhya Pradesh,MP_Katni,Katni,9345,45,9191,109,0,0,0,0,0,,
334,MP,Madhya Pradesh,MP_Khandwa,Khandwa,4025,28,3903,94,0,0,0,0,0,,
368,MP,Madhya Pradesh,MP_Khargone,Khargone,13795,178,13397,220,0,0,0,0,0,,
343,MP,Madhya Pradesh,MP_Mandla,Mandla,5173,48,5108,17,0,0,0,0,0,,
344,MP,Madhya Pradesh,MP_Mandsaur,Mandsaur,8561,294,8184,83,0,0,0,0,0,,
345,MP,Madhya Pradesh,MP_Morena,Morena,8190,254,7858,78,0,0,0,0,0,,
346,MP,Madhya Pradesh,MP_Narsinghpur,Narsinghpur,11140,83,10977,80,0,0,0,0,0,,
347,MP,Madhya Pradesh,MP_Neemuch,Neemuch,7859,237,7538,84,0,0,0,0,0,,
348,MP,Madhya Pradesh,MP_Niwari,Niwari,3647,83,3520,44,0,0,0,0,0,,
0,MP,Madhya Pradesh,MP_Other Region,Other Region,0,0,0,0,0,0,0,0,0,,
349,MP,Madhya Pradesh,MP_Panna,Panna,7239,43,7140,56,0,0,0,0,0,,
350,MP,Madhya Pradesh,MP_Raisen,Raisen,9120,234,8699,187,0,0,0,0,0,,
351,MP,Madhya Pradesh,MP_Rajgarh,Rajgarh,8513,333,8065,115,0,0,0,0,0,,
352,MP,Madhya Pradesh,MP_Ratlam,Ratlam,17655,757,16593,305,0,0,0,0,0,,
353,MP,Madhya Pradesh,MP_Rewa,Rewa,16312,329,15870,113,0,0,0,0,0,,
354,MP,Madhya Pradesh,MP_Sagar,Sagar,16407,643,15484,280,0,0,0,0,0,,
355,MP,Madhya Pradesh,MP_Satna,Satna,11904,138,11654,112,0,0,0,0,0,,
356,MP,Madhya Pradesh,MP_Sehore,Sehore,10077,301,9727,49,0,0,0,0,0,,
357,MP,Madhya Pradesh,MP_Seoni,Seoni,6699,196,6475,28,0,0,0,0,0,,
358,MP,Madhya Pradesh,MP_Shahdol,Shahdol,10042,134,9791,117,0,0,0,0,0,,
359,MP,Madhya Pradesh,MP_Shajapur,Shajapur,6279,326,5900,53,0,0,0,0,0,,
360,MP,Madhya Pradesh,MP_Sheopur,Sheopur,3967,197,3710,60,0,0,0,0,0,,
361,MP,Madhya Pradesh,MP_Shivpuri,Shivpuri,12345,236,11996,113,0,0,0,0,0,,
362,MP,Madhya Pradesh,MP_Sidhi,Sidhi,9164,205,8872,87,0,0,0,0,0,,
363,MP,Madhya Pradesh,MP_Singrauli,Singrauli,8764,174,8515,75,0,0,0,0,0,,
364,MP,Madhya Pradesh,MP_Tikamgarh,Tikamgarh,6833,75,6653,105,0,0,0,0,0,,
365,MP,Madhya Pradesh,MP_Ujjain,Ujjain,18741,314,18256,171,0,0,0,0,0,,
366,MP,Madhya Pradesh,MP_Umaria,Umaria,6245,200,5988,57,0,0,0,0,0,,
367,MP,Madhya Pradesh,MP_Vidisha,Vidisha,11815,121,11483,211,0,0,0,0,0,,
432,MZ,Mizoram,MZ_Aizawl,Aizawl,8512,2186,6292,34,0,0,0,0,0,,
433,MZ,Mizoram,MZ_Champhai,Champhai,205,8,196,1,0,0,0,0,0,,
729,MZ,Mizoram,MZ_Hnahthial,Hnahthial,25,0,25,0,0,0,0,0,0,,
730,MZ,Mizoram,MZ_Khawzawl,Khawzawl,72,11,61,0,0,0,0,0,0,,
434,MZ,Mizoram,MZ_Kolasib,Kolasib,734,133,600,1,0,0,0,0,0,,
435,MZ,Mizoram,MZ_Lawngtlai,Lawngtlai,831,288,543,0,0,0,0,0,0,,
436,MZ,Mizoram,MZ_Lunglei,Lunglei,879,180,699,0,0,0,0,0,0,,
437,MZ,Mizoram,MZ_Mamit,Mamit,222,18,202,2,0,0,0,0,0,,
438,MZ,Mizoram,MZ_Saiha,Saiha,165,38,127,0,0,0,0,0,0,,
728,MZ,Mizoram,MZ_Saitual,Saitual,121,40,80,1,0,0,0,0,0,,
439,MZ,Mizoram,MZ_Serchhip,Serchhip,633,108,522,3,0,0,0,0,0,,
0,NL,Nagaland,NL_Others,Others,0,0,0,0,0,0,0,0,0,,
440,NL,Nagaland,NL_Dimapur,Dimapur,11583,2425,8419,269,470,0,0,0,0,,
441,NL,Nagaland,NL_Kiphire,Kiphire,125,43,78,3,1,0,0,0,0,,
442,NL,Nagaland,NL_Kohima,Kohima,6766,1529,5081,57,99,0,0,0,0,,
443,NL,Nagaland,NL_Longleng,Longleng,107,30,67,0,10,0,0,0,0,,
444,NL,Nagaland,NL_Mokokchung,Mokokchung,588,217,328,16,27,0,0,0,0,,
445,NL,Nagaland,NL_Mon,Mon,845,54,771,5,15,0,0,0,0,,
446,NL,Nagaland,NL_Peren,Peren,564,15,547,0,2,0,0,0,0,,
447,NL,Nagaland,NL_Phek,Phek,270,96,165,9,0,0,0,0,0,,
448,NL,Nagaland,NL_Tuensang,Tuensang,537,174,358,3,2,0,0,0,0,,
449,NL,Nagaland,NL_Wokha,Wokha,135,66,62,3,4,0,0,0,0,,
450,NL,Nagaland,NL_Zunheboto,Zunheboto,334,89,235,7,3,0,0,0,0,,
0,OR,Odisha,OR_State Pool,State Pool,20316,1876,18440,0,0,0,0,0,0,,
0,OR,Odisha,OR_Others,Others,0,0,0,0,0,0,0,0,0,,
451,OR,Odisha,OR_Angul,Angul,33521,4686,28721,114,0,0,0,0,0,,
452,OR,Odisha,OR_Balangir,Balangir,21575,1018,20496,61,0,0,0,0,0,,
453,OR,Odisha,OR_Balasore,Balasore,25028,3486,21432,110,0,0,0,0,0,,
454,OR,Odisha,OR_Bargarh,Bargarh,27739,3139,24552,48,0,0,0,0,0,,
456,OR,Odisha,OR_Bhadrak,Bhadrak,16638,2288,14313,37,0,0,0,0,0,,
455,OR,Odisha,OR_Boudh,Boudh,10169,3125,7002,42,0,0,0,0,0,,
457,OR,Odisha,OR_Cuttack,Cuttack,62184,7318,54697,169,0,0,0,0,0,,
458,OR,Odisha,OR_Deogarh,Deogarh,5244,507,4722,15,0,0,0,0,0,,
459,OR,Odisha,OR_Dhenkanal,Dhenkanal,13385,3828,9521,36,0,0,0,0,0,,
460,OR,Odisha,OR_Gajapati,Gajapati,8296,560,7677,59,0,0,0,0,0,,
461,OR,Odisha,OR_Ganjam,Ganjam,31686,1030,30364,292,0,0,0,0,0,,
462,OR,Odisha,OR_Jagatsinghpur,Jagatsinghpur,17579,2263,15272,44,0,0,0,0,0,,
463,OR,Odisha,OR_Jajpur,Jajpur,26851,3126,23695,30,0,0,0,0,0,,
464,OR,Odisha,OR_Jharsuguda,Jharsuguda,22386,1008,21324,54,0,0,0,0,0,,
465,OR,Odisha,OR_Kalahandi,Kalahandi,21983,2255,19612,116,0,0,0,0,0,,
466,OR,Odisha,OR_Kandhamal,Kandhamal,9251,831,8379,41,0,0,0,0,0,,
467,OR,Odisha,OR_Kendrapara,Kendrapara,15731,1617,14063,51,0,0,0,0,0,,
468,OR,Odisha,OR_Kendujhar,Kendujhar,16089,747,15283,59,0,0,0,0,0,,
469,OR,Odisha,OR_Khordha,Khordha,115935,10830,104624,481,0,0,0,0,0,,
470,OR,Odisha,OR_Koraput,Koraput,15255,2096,13117,42,0,0,0,0,0,,
471,OR,Odisha,OR_Malkangiri,Malkangiri,8323,860,7429,34,0,0,0,0,0,,
472,OR,Odisha,OR_Mayurbhanj,Mayurbhanj,28461,3029,25336,96,0,0,0,0,0,,
473,OR,Odisha,OR_Nabarangapur,Nabarangapur,20041,2259,17742,40,0,0,0,0,0,,
474,OR,Odisha,OR_Nayagarh,Nayagarh,16062,2474,13535,53,0,0,0,0,0,,
475,OR,Odisha,OR_Nuapada,Nuapada,22030,410,21562,58,0,0,0,0,0,,
476,OR,Odisha,OR_Puri,Puri,32279,3435,28687,157,0,0,0,0,0,,
477,OR,Odisha,OR_Rayagada,Rayagada,15763,1236,14418,109,0,0,0,0,0,,
478,OR,Odisha,OR_Sambalpur,Sambalpur,27785,1946,25750,89,0,0,0,0,0,,
479,OR,Odisha,OR_Subarnapur,Subarnapur,11314,1260,10021,33,0,0,0,0,0,,
480,OR,Odisha,OR_Sundargarh,Sundargarh,54833,4318,50241,274,0,0,0,0,0,,
485,PB,Punjab,PB_Amritsar,Amritsar,44824,2939,40424,1461,0,0,0,0,0,,
486,PB,Punjab,PB_Barnala,Barnala,5536,478,4852,206,0,0,0,0,0,,
487,PB,Punjab,PB_Bathinda,Bathinda,39148,2518,35721,909,0,0,0,0,0,,
488,PB,Punjab,PB_Faridkot,Faridkot,12592,1097,11229,266,0,0,0,0,0,,
489,PB,Punjab,PB_Fatehgarh Sahib,Fatehgarh Sahib,8161,648,7276,237,0,0,0,0,0,,
490,PB,Punjab,PB_Fazilka,Fazilka,18763,2017,16300,446,0,0,0,0,0,,
491,PB,Punjab,PB_Ferozepur,Ferozepur,12829,1473,10954,402,0,0,0,0,0,,
492,PB,Punjab,PB_Gurdaspur,Gurdaspur,20908,977,19203,728,0,0,0,0,0,,
493,PB,Punjab,PB_Hoshiarpur,Hoshiarpur,28624,1343,26363,918,0,0,0,0,0,,
494,PB,Punjab,PB_Jalandhar,Jalandhar,60264,2922,55957,1385,0,0,0,0,0,,
495,PB,Punjab,PB_Kapurthala,Kapurthala,16665,766,15420,479,0,0,0,0,0,,
496,PB,Punjab,PB_Ludhiana,Ludhiana,84337,3916,78419,2002,0,0,0,0,0,,
497,PB,Punjab,PB_Mansa,Mansa,14596,1852,12536,208,0,0,0,0,0,,
498,PB,Punjab,PB_Moga,Moga,8085,499,7397,189,0,0,0,0,0,,
499,PB,Punjab,PB_Pathankot,Pathankot,17789,1035,16370,384,0,0,0,0,0,,
500,PB,Punjab,PB_Patiala,Patiala,46835,1870,43735,1230,0,0,0,0,0,,
501,PB,Punjab,PB_Rupnagar,Rupnagar,12288,688,11230,370,0,0,0,0,0,,
502,PB,Punjab,PB_S.A.S. Nagar,S.A.S. Nagar,66696,2561,63164,971,0,0,0,0,0,,
503,PB,Punjab,PB_Sangrur,Sangrur,14669,1103,12808,758,0,0,0,0,0,,
504,PB,Punjab,PB_Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,11066,358,10378,330,0,0,0,0,0,,
505,PB,Punjab,PB_Sri Muktsar Sahib,Sri Muktsar Sahib,17559,1885,15218,456,0,0,0,0,0,,
506,PB,Punjab,PB_Tarn Taran,Tarn Taran,7522,499,6709,314,0,0,0,0,0,,
481,PY,Puducherry,PY_Karaikal,Karaikal,12599,1747,10680,172,0,0,0,0,0,"2 case of TN has been transferred,so has been reduced from the total count.",
482,PY,Puducherry,PY_Mahe,Mahe,4122,224,3869,29,0,0,0,0,0,"1 case of KL have been transferred,so have been reduced from the total count",
483,PY,Puducherry,PY_Puducherry,Puducherry,82573,8384,72934,1255,0,0,0,0,0,"209 cases(204 of TN, 1 of AP and 4 other) have been transferred,so have been reduced from the total count.[July 18]4 cases have transferred to TN and have been reduced from recovered cases.",
484,PY,Puducherry,PY_Yanam,Yanam,6138,354,5690,94,0,0,0,0,0,"2 cases of AP have been transferred,so have been reduced from the total count",
507,RJ,Rajasthan,RJ_Ajmer,Ajmer,37382,967,36013,402,0,0,0,0,0,,
508,RJ,Rajasthan,RJ_Alwar,Alwar,57987,2771,54931,285,0,0,0,0,0,,
509,RJ,Rajasthan,RJ_Banswara,Banswara,9895,368,9429,98,0,0,0,0,0,,
510,RJ,Rajasthan,RJ_Baran,Baran,11937,392,11487,58,0,0,0,0,0,,
511,RJ,Rajasthan,RJ_Barmer,Barmer,15216,896,14143,177,0,0,0,0,0,,
